name,logM200,Type,Dist,i,L36,Reff,SBeff,Rdisk,SBdisk,MHI,RHI,Vflat,e_Vflat,Qual,n_points_used,s_inner,active_shape_gate,delta_R1,alpha_v_best,ratio_v_best,Areq_v_best,at_lower_bound,at_upper_bound,chi2_ref,chi2_best,delta_chi2_best,red_chi2_ref_like,red_chi2_best_like
NGC5055,11.72,4,9.9,55.0,152.922,4.18,1383.02,3.2,3348.34,11.722,35.06,179.0,4.9,1,28,0.9497206703910615,0,-0.057041003573798994,0.0,1.0,0.0,0,0,6857.680108862435,6857.680108862435,0.0,253.9881521800902,253.9881521800902
NGC5371,11.75,4,39.7,53.0,340.393,9.8,560.83,7.44,1395.82,11.18,30.03,209.5,3.9,1,19,1.026252983293556,0,-0.048364976112837306,0.0,1.0,0.0,0,0,91.70281344163617,91.70281344163617,0.0,5.094600746757565,5.094600746757565
NGC3917,11.76,6,18.0,79.0,21.966,5.56,112.94,2.63,1226.96,1.888,14.08,135.9,4.1,1,17,0.36497424576894777,1,-0.0455722398681809,-2.6875,1.1224753946457362,2.6875000000000004,0,0,67.52762152696738,49.02571866582946,-18.50190286113792,4.220476345435461,3.064107416614341
NGC6946,11.8,6,5.52,38.0,66.173,4.2,571.26,2.44,2232.7,5.67,21.25,158.9,10.9,1,58,0.8244178728760226,0,-0.03678313459239754,0.0,1.0,0.0,0,0,174.86349810117994,174.86349810117994,0.0,3.0677806684417535,3.0677806684417535
NGC0289,11.81,4,20.8,46.0,72.065,2.69,1587.93,6.74,69.96,27.469,49.51,163.0,8.0,2,28,1.0736196319018405,0,-0.03471649546197157,0.0,1.0,0.0,0,0,85.52129414687758,85.52129414687758,0.0,3.1674553387732436,3.1674553387732436
UGC03546,11.85,1,28.7,55.0,101.336,2.58,2403.42,3.79,922.21,2.675,18.37,196.9,7.4,1,30,1.127475876079228,0,-0.02644993894026776,0.0,1.0,0.0,0,0,515.7772663493024,515.7772663493024,0.0,17.785422977562153,17.785422977562153
NGC5033,11.88,5,15.7,66.0,110.509,2.94,2036.24,5.16,614.94,11.314,29.53,194.2,3.6,1,22,1.101956745623069,0,-0.02060813823686431,0.0,1.0,0.0,0,0,75.03964220019517,75.03964220019517,0.0,3.5733162952473894,3.5733162952473894
NGC5907,11.88,5,17.3,88.0,175.425,7.88,449.6,5.34,8646.29,21.025,0.0,215.0,2.9,1,19,0.9953488372093023,0,-0.02060813823686431,0.0,1.0,0.0,0,0,77.55249637356778,77.55249637356778,0.0,4.308472020753765,4.308472020753765
NGC4051,11.9,4,18.0,49.0,95.268,6.87,319.76,4.65,1320.78,2.697,15.13,157.0,5.5,2,7,0.7547770700636942,0,-0.01752444742073287,0.0,1.0,0.0,0,0,17.930036270049513,17.930036270049513,0.0,2.9883393783415855,2.9883393783415855
NGC0891,11.92,3,9.91,90.0,138.34,3.68,1617.45,2.55,5067.92,4.462,18.16,216.1,5.7,1,18,0.985654789449329,0,-0.01444075660460143,0.0,1.0,0.0,0,0,63.54695453479634,63.54695453479634,0.0,3.738056149105667,3.738056149105667
NGC4088,11.93,4,18.0,69.0,107.286,6.1,457.96,2.58,3988.69,8.226,22.25,171.7,6.9,1,12,0.4944670937682004,0,-0.012898911196535726,0.0,1.0,0.0,0,0,31.960350507514132,31.960350507514132,0.0,2.905486409774012,2.905486409774012
NGC3893,11.94,5,18.0,49.0,58.525,2.43,1573.37,2.38,2055.09,5.799,20.84,174.0,8.9,1,10,0.8333333333333334,0,-0.011357065788470011,0.0,1.0,0.0,0,0,12.723250479827776,12.723250479827776,0.0,1.4136944977586419,1.4136944977586419
UGC02916,11.94,2,65.4,50.0,124.153,2.8,2425.66,6.15,520.99,23.273,34.24,182.7,6.9,2,43,1.1330049261083746,0,-0.011357065788470011,0.0,1.0,0.0,0,0,1281.453834044871,1281.453834044871,0.0,30.510805572496928,30.510805572496928
IC4202,11.95,4,100.4,90.0,179.749,8.55,391.59,4.78,8888.53,12.326,32.13,242.6,11.0,1,32,0.5585325638911789,0,-0.009815220380404267,0.0,1.0,0.0,0,0,1339.3564804568807,1339.3564804568807,0.0,43.20504775667357,43.20504775667357
NGC2998,12.0,5,68.1,58.0,150.902,7.06,479.55,6.2,774.16,23.451,43.58,209.9,8.1,1,13,0.7050976655550262,0,-0.0029025266763196,0.0,1.0,0.0,0,0,27.843213585848623,27.843213585848623,0.0,2.3202677988207188,2.3202677988207188
UGC08699,12.0,2,39.3,73.0,50.302,1.91,2191.95,3.09,1370.35,3.738,19.05,182.4,6.9,2,41,1.0635964912280702,0,-0.0029025266763196,0.0,1.0,0.0,0,0,222.04025656182162,222.04025656182162,0.0,5.55100641404554,5.55100641404554
NGC7814,12.04,2,14.4,90.0,74.529,2.08,2709.13,2.54,2635.3,1.07,12.15,218.9,7.0,1,18,1.176336226587483,0,0.0015679566972208504,0.0,1.0,0.0,0,0,13.416075645714619,13.416075645714619,0.0,0.7891809203361541,0.7891809203361541
F571-8,12.05,5,53.3,85.0,10.164,1.4,825.71,3.56,87.26,1.782,24.55,139.7,4.3,1,13,0.404438081603436,1,0.0026855775406061312,2.0,1.0053711550812123,-2.0000000000000253,0,1,78.13378182338685,77.82770767586375,-0.30607414752310547,6.511148485282238,6.485642306321979
UGC05253,12.08,2,22.9,37.0,171.582,4.28,1488.78,8.07,189.16,16.396,36.64,213.7,7.1,2,73,1.1511464670098268,0,0.006038440070761372,0.0,1.0,0.0,0,0,4160.645888250611,4160.645888250611,0.0,57.786748447925156,57.786748447925156
