name,logM200,Vflat,Qual,Rdisk,log10Cobs,log10c_ref,delta_R1,n_inner_pts,inner_shape_proxy
NGC7814,12.04,218.9,1,2.54,1.0927206446840991,0.9150703982269116,0.0015679566972208504,2,1.176336226587483
F571-8,12.05,139.7,1,3.56,0.8555191556678001,0.9135541729426263,0.0026855775406061312,5,0.404438081603436
UGC05253,12.08,213.7,2,8.07,1.2494429614425822,0.9088671409733604,0.006038440070761372,54,1.1511464670098268
UGC06786,12.08,219.4,1,3.6,1.1781132523146318,0.9088671409733604,0.006038440070761372,7,0.8204193254329991
UGC12506,12.08,234.0,2,7.38,1.2332500095411003,0.9088671409733604,0.006038440070761372,4,0.7542735042735043
UGC09037,12.1,152.3,2,4.28,0.7626785637274363,0.9056220261719252,0.007863446418780892,2,0.49376231122783976
NGC4157,12.13,184.7,1,2.32,0.7664128471123994,0.9005629872514558,0.010111736812795643,1,0.5219274499187873
UGC09133,12.16,226.8,1,6.97,0.7965743332104297,0.8952807130690027,0.012348814595571928,22,1.2345679012345678
NGC4217,12.17,181.3,1,2.94,0.8992731873176038,0.8934666334936582,0.013094507189830677,3,0.5455046883618312
NGC3953,12.19,220.8,1,4.89,0.7781512503836436,0.8897752036245655,0.01458589237834815,1,0.8197463768115941
NGC5985,12.2,293.6,1,7.01,1.4219328132785085,0.8878866604764561,0.015205059571201824,5,0.8446866485013623
UGC02953,12.24,264.9,2,3.55,1.030599721965951,0.8801017907191265,0.017268360700766115,40,0.911664779161948
UGC03205,12.27,219.6,1,3.19,0.6830470382388496,0.8740008836051915,0.018770216251489384,6,0.662568306010929
NGC0801,12.33,220.1,1,8.72,0.5118833609788744,0.8611293635913688,0.021308858693898973,5,0.93139482053612
ESO079-G014,12.4,175.0,1,5.08,0.6444385894678386,0.8449860501779506,0.023491596256612648,6,0.3471428571428571
NGC7331,12.41,239.0,1,5.02,0.8518696007297664,0.8425762620204871,0.023770989093661682,5,1.0418410041841004
NGC3521,12.44,213.7,1,2.4,0.7759743311293691,0.8352104069074126,0.024259916733096246,11,0.9124941506785214
NGC2841,12.57,284.8,1,3.64,0.7664128471123994,0.8007138730567163,0.02492596056568113,1,1.0007022471910112
UGC06614,12.62,199.8,1,5.1,0.7387805584843692,0.7863273357272995,0.024507217459817467,1,0.970970970970971
UGC02885,12.68,289.5,1,11.4,0.7686381012476144,0.7682470965713893,0.0233755452971613,3,0.8877374784110535
NGC6195,12.71,251.7,1,13.94,0.6384892569546373,0.7588721241004578,0.022750453552349417,13,0.9614620580055622
NGC6674,12.81,241.3,1,6.04,0.30319605742048883,0.7260113257550841,0.020128709135731063,1,0.8537090758392043
NGC5005,12.93,262.2,1,9.45,0.756636108245848,0.683302405816651,0.01912233473435987,15,0.9839816933638444
UGC11455,13.01,269.4,1,5.93,0.5599066250361124,0.6528444599820233,0.01912233473436009,9,0.5048255382331106
UGC06787,13.38,248.1,2,5.37,0.12385164096708583,0.49133293121479704,0.01912233473436009,28,0.9552599758162031
ESO563-G021,13.47,314.6,1,5.45,0.42813479402878885,0.446911684220857,0.01912233473436009,6,0.30689764780673867
UGC11914,13.6,288.1,1,2.44,0.7371926427047373,0.3792068842179955,0.01912233473436009,24,0.9909753557792432
